Default Report,,,,,1,2,3,4,5
Last Modified: 2017-08-27 20:58:19 MDT,,,,Contradicition,263,68,22,19,6
,,,,Neutral,13,29,100,176,81
,,,,Entailment,4,15,26,133,224
,,,,Model,50,41,46,124,121
"Q15 - You are invited to participate in a research study conducted by Peter Blouw, under the supervision of Dr. Chris Eliasmith of the Center for Theoretical Neuroscience at the University of Waterloo, Canada. The purpose of the study is to rate image captions. 
If you decide to volunteer, you will be asked to complete an 8-minute online survey that is completed anonymously.  During the survey, you will be shown 20 image captions (but not the images) and then be asked to rate the quality of an alternate caption. Remuneration of $1.00 will be provided to all participants. 
Participation in this study is voluntary. You may decline to answer any questions that you do not wish to answer and you can withdraw your participation at any time by ceasing to answer questions. To receive remuneration please proceed to the end of the questionnaire, obtain the unique code for this HIT, and submit it. There are no known or anticipated risks from participating in this study.
It is important for you to know that any information that you provide will be confidential. All of the data will be summarized and no individual could be identified from these summarized results. The survey website temporarily collects your Mechanical Turk Worker ID and computer IP address to avoid duplicate responses but will not collect information that could identify you. However, when information is transmitted over the Internet privacy cannot be guaranteed. There is always a risk your responses may be intercepted by a third party (e.g., government agencies, hackers).
The data, with no personal identifiers, collected from this study will be maintained on a password-protected computer database in a restricted access area of the university. As well, the data will be electronically archived after completion of the study and retained for at least five years and then erased. The data may be presented in scholarly reports, publications, and conference presentations.
This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Committee (ORE #22067). If you have questions for the Committee contact the Chief Ethics Officer, Office of Research Ethics, at 1-519-888-4567 ext. 36005 or ore-ceo@uwaterloo.ca. 
For all other questions about the study, please contact either Peter Blouw at pblouw@uwaterloo or Dr. Chris Eliasmith at celiasmith@uwaterloo.ca. Further, if you would like to receive a copy of the results of this study, please contact either investigator.
 
Thank you for considering participation in this study.
With full knowledge of all foregoing, I agree, of my own free will, to participate in this study.",,,,,,,,,
#,Answer,%,Count,,,,,,
1,I agree to participate,100.00%,76,,,,,,
2,I do not wish to participate,0.00%,0,,,,,,
,Total,100%,76,,,,,,
,,,,,,,,,
Q1 - Here is a true caption of a photo: ,,,,,,,,,
 A man on a ladder in tall grass.,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
 The man is seated on his couch in his living room.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,68.75%,11,,,,,,
2,Unlikely,18.75%,3,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,12.50%,2,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,16,,,,,,
,,,,,,,,,
Q24 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
 A man on a ladder in tall grass.,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The man is wearing glasses.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,22.73%,5,,,,,,
2,Unlikely,22.73%,5,,,,,,
3,Neither likely nor unlikely,27.27%,6,,,,,,
4,Likely,22.73%,5,,,,,,
5,Very Likely,4.55%,1,,,,,,
,Total,100%,22,,,,,,
,,,,,,,,,
Q25 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
 A man on a ladder in tall grass.,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The man is outdoors.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,10.00%,2,,,,,,
3,Neither likely nor unlikely,10.00%,2,,,,,,
4,Likely,20.00%,4,,,,,,
5,Very Likely,60.00%,12,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q26 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
 A man on a ladder in tall grass.,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man is outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.00%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,40.00%,8,,,,,,
5,Very Likely,55.00%,11,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q27 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man is holding a microphone in front of his mouth. ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The man is swimming in the ocean.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,90.48%,19,,,,,,
2,Unlikely,4.76%,1,,,,,,
3,Neither likely nor unlikely,4.76%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q28 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man is holding a microphone in front of his mouth. ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The man was about to record his music album.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,23.53%,4,,,,,,
4,Likely,58.82%,10,,,,,,
5,Very Likely,17.65%,3,,,,,,
,Total,100%,17,,,,,,
,,,,,,,,,
Q29 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man is holding a microphone in front of his mouth. ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A male has a device near his mouth.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.26%,1,,,,,,
3,Neither likely nor unlikely,5.26%,1,,,,,,
4,Likely,31.58%,6,,,,,,
5,Very Likely,57.89%,11,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q30 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A man is holding a microphone in front of his mouth. ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 A man is holding a something.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.76%,1,,,,,,
2,Unlikely,14.29%,3,,,,,,
3,Neither likely nor unlikely,9.52%,2,,,,,,
4,Likely,23.81%,5,,,,,,
5,Very Likely,47.62%,10,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q32 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of young people performing on a stage. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
