Default Report,,,,,1,2,3,4,5
Last Modified: 2017-08-27 20:52:51 MDT,,,,Entailment,0,3,8,29,46
,,,,Model,70,56,39,117,88
,,,,Contradiction,55,20,8,1,0
"Q15 - You are invited to participate in a research study conducted by Peter Blouw, under the supervision of Dr. Chris Eliasmith of the Center for Theoretical Neuroscience at the University of Waterloo, Canada. The purpose of the study is to rate image captions. 
If you decide to volunteer, you will be asked to complete an 8-minute online survey that is completed anonymously.  During the survey, you will be shown 20 image captions (but not the images) and then be asked to rate the quality of an alternate caption. Remuneration of $1.00 will be provided to all participants. 
Participation in this study is voluntary. You may decline to answer any questions that you do not wish to answer and you can withdraw your participation at any time by ceasing to answer questions. To receive remuneration please proceed to the end of the questionnaire, obtain the unique code for this HIT, and submit it. There are no known or anticipated risks from participating in this study.
It is important for you to know that any information that you provide will be confidential. All of the data will be summarized and no individual could be identified from these summarized results. The survey website temporarily collects your Mechanical Turk Worker ID and computer IP address to avoid duplicate responses but will not collect information that could identify you. However, when information is transmitted over the Internet privacy cannot be guaranteed. There is always a risk your responses may be intercepted by a third party (e.g., government agencies, hackers).
The data, with no personal identifiers, collected from this study will be maintained on a password-protected computer database in a restricted access area of the university. As well, the data will be electronically archived after completion of the study and retained for at least five years and then erased. The data may be presented in scholarly reports, publications, and conference presentations.
This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Committee (ORE #22067). If you have questions for the Committee contact the Chief Ethics Officer, Office of Research Ethics, at 1-519-888-4567 ext. 36005 or ore-ceo@uwaterloo.ca. 
For all other questions about the study, please contact either Peter Blouw at pblouw@uwaterloo or Dr. Chris Eliasmith at celiasmith@uwaterloo.ca. Further, if you would like to receive a copy of the results of this study, please contact either investigator.
 
Thank you for considering participation in this study.
With full knowledge of all foregoing, I agree, of my own free will, to participate in this study.",,,,,,,,,
#,Answer,%,Count,,,,,,
1,I agree to participate,100.00%,54,,,,,,
2,I do not wish to participate,0.00%,0,,,,,,
,Total,100%,54,,,,,,
,,,,,,,,,
Q1 - Here is a true caption of a photo: ,,,,,,,,,
 Two little white dogs running.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
 Two dogs are moving.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,50.00%,5,,,,,,
5,Very Likely,50.00%,5,,,,,,
,Total,100%,10,,,,,,
,,,,,,,,,
Q24 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
 A band singing and playing electric guitar for a crowd of dogs.,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A band playing a music.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,12.50%,1,,,,,,
2,Unlikely,25.00%,2,,,,,,
3,Neither likely nor unlikely,12.50%,1,,,,,,
4,Likely,25.00%,2,,,,,,
5,Very Likely,25.00%,2,,,,,,
,Total,100%,8,,,,,,
,,,,,,,,,
Q25 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
 A man with two small dogs making a purchase from a woman.,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A men are are together.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,100.00%,9,,,,,,
2,Unlikely,0.00%,0,,,,,,
